index,date_time,open,high,low,close,buyer,seller,value,delta_type
557,2023-06-15 20:45:00,170.87,171.0,170.84,170.94,39480,59080,98560,buyer
558,2023-06-15 21:00:00,170.91,170.96,170.9,170.95,39470,56740,96210,buyer
559,2023-06-15 21:15:00,170.94,171.06,170.83,171.05,25850,147050,172900,buyer
560,2023-06-15 21:30:00,171.05,171.62,171.02,171.49,100620,446890,547510,buyer
561,2023-06-15 21:45:00,171.49,171.5,171.2,171.25,56090,137270,193360,buyer
562,2023-06-15 22:00:00,171.25,171.5,171.1,171.48,86890,115460,202350,buyer
563,2023-06-15 22:15:00,171.48,171.5,171.23,171.28,77840,82810,160650,buyer
564,2023-06-15 22:30:00,171.28,171.38,171.25,171.38,37650,80580,118230,buyer
565,2023-06-15 22:45:00,171.38,171.44,171.3,171.37,30260,71490,101750,buyer
566,2023-06-15 23:00:00,171.36,171.5,171.27,171.41,51980,137770,189750,buyer
567,2023-06-15 23:15:00,171.41,171.7,171.4,171.59,61840,210690,272530,buyer
568,2023-06-15 23:30:00,171.58,171.97,171.55,171.97,63620,595280,658900,buyer
569,2023-06-15 23:45:00,171.97,172.0,171.83,171.86,36880,269170,306050,buyer
570,2023-06-16 09:45:00,171.85,171.85,171.85,171.85,89790,0,89790,seller
571,2023-06-16 10:00:00,171.85,172.46,170.63,171.04,621940,1843000,2464940,buyer
572,2023-06-16 10:15:00,171.03,171.38,170.4,170.66,340600,1117150,1457750,buyer
573,2023-06-16 10:30:00,170.66,170.76,170.01,170.09,475550,1062830,1538380,buyer
574,2023-06-16 10:45:00,170.07,170.79,170.03,170.39,154790,642210,797000,buyer
575,2023-06-16 11:00:00,170.37,170.54,170.07,170.5,161030,609460,770490,buyer
